               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036367,           0.0050088,           0.0038872,             0.90313,             0.82345,             0.88643,             0.45833,             0.03489,           0.0035131,           0.0030825,             0.00307,             0.00307,             0.00307
                  37,            0.036058,           0.0048804,           0.0040083,             0.90652,             0.80454,             0.88893,             0.45029,            0.035344,           0.0035464,           0.0029004,            0.002872,            0.002872,            0.002872
                  38,            0.036554,           0.0050162,           0.0036749,             0.91564,             0.80941,             0.88196,             0.45436,            0.035222,           0.0035285,           0.0028899,            0.002674,            0.002674,            0.002674
                  39,            0.035865,            0.005101,           0.0031441,             0.92373,             0.82474,             0.89044,             0.45726,            0.034435,           0.0034889,           0.0019381,            0.002476,            0.002476,            0.002476
                  40,            0.035238,           0.0051294,           0.0030539,             0.91629,             0.82802,             0.89826,             0.46898,            0.034781,           0.0034317,           0.0020605,            0.002278,            0.002278,            0.002278
                  41,            0.035156,           0.0048622,           0.0035705,             0.91908,             0.84085,             0.90597,             0.47311,            0.033442,           0.0033778,            0.002188,             0.00208,             0.00208,             0.00208
                  42,            0.034768,           0.0049018,            0.002984,              0.9316,             0.82841,             0.90521,             0.46707,            0.034382,           0.0034784,           0.0018412,            0.001882,            0.001882,            0.001882
                  43,            0.034335,           0.0048021,           0.0033817,             0.93301,             0.83608,             0.90115,             0.47999,            0.033871,            0.003436,           0.0019645,            0.001684,            0.001684,            0.001684
                  44,             0.03424,           0.0048507,           0.0032726,             0.92879,             0.82967,             0.89758,             0.47481,            0.033806,           0.0033944,           0.0020977,            0.001486,            0.001486,            0.001486
                  45,             0.03355,           0.0047827,           0.0027538,             0.92544,             0.83699,             0.91018,             0.47235,            0.033057,           0.0034108,           0.0019365,            0.001288,            0.001288,            0.001288
                  46,             0.03332,           0.0048033,            0.002832,             0.93828,             0.82862,             0.90755,             0.47969,            0.033189,           0.0033446,           0.0018667,             0.00109,             0.00109,             0.00109
                  47,            0.033252,           0.0046254,           0.0029661,             0.93006,              0.8418,             0.91035,             0.48681,            0.032495,           0.0033212,           0.0017806,            0.000892,            0.000892,            0.000892
                  48,             0.03235,           0.0047976,           0.0026398,             0.93874,             0.82203,             0.90602,             0.48377,             0.03238,            0.003337,           0.0017873,            0.000694,            0.000694,            0.000694
                  49,            0.032269,           0.0047157,            0.002881,             0.93531,             0.84066,             0.91148,             0.48993,            0.032362,           0.0033265,           0.0017415,            0.000496,            0.000496,            0.000496
